text,created_at,sentiment_score,sentiment_label,text_length,hour_of_day
"@FelipeL08403741 https://t.co/hBC73gVg1N

Thank you so kindly",2025-06-29 22:19:57+00:00,0.7178,positive,61,22
"They play 44 games in 3 months. The burnout will cause injuries. Honestly they need to go back to 40 games, up rooster to 14, &amp; extend their season by a month or two. https://t.co/2SSJrR6mRe",2025-06-29 22:19:57+00:00,0.7269,positive,194,22
@912GAgirl A young adult working towards their higher education shouldn't have to suffer from the stress of college and a job and paying off loans that are designed to keep you in lifelong debt. College students are working for something: their degree. They shouldn't be forced into,2025-06-29 22:19:56+00:00,0.0077,neutral,282,22
@JoJoFromJerz @Wisdom_wavesX @lisamurkowski Someone should look in on your kids. This anger you have makes me fearful for them.,2025-06-29 22:19:56+00:00,-0.8213,negative,127,22
"@crockpics That JBL Clip 5 looks sick! Perfect for hikes or beach trips. Speaking of sound, have you checked out @alexgraytrust? They do amazing work with music therapy for mental health. Worth a follow!",2025-06-29 22:19:55+00:00,0.7707,positive,203,22
"@coulddycold Absolutely nailed it 👇🏾
You don’t realize how complicated Web3 feels…
until you touch $NEAR and everything just works,No friction
No confusion,No gas stress
Just smooth Web3 the way it should have always
been
@NEARProtocol is not hype , it's the standard 🔥💯
#NEAR",2025-06-29 22:19:55+00:00,-0.7506,negative,276,22
〃 The wind in the sails are careful and calm today. 〃,2025-06-29 22:19:55+00:00,0.4404,positive,53,22
"@AEMentalhealth @recovery_your This lad coming back in my life after not seeing him for 7yrs, really helped me tbh the family court system let us down tbh,he was just 1 of many things why depression took hold of me and once ot got a hold of you it doesn't want to let go of you https://t.co/wSBkly9Sw0",2025-06-29 22:19:55+00:00,-0.6023,negative,301,22
@LeakerApple @_lonewolf_abdul @devilnerd31 @TheGalox_ It’s video playback dude which shows battery test without stress on CPU just battery test and this test proves higher density battery on the Samsung,2025-06-29 22:19:54+00:00,0.3252,positive,202,22
@frailkiss the concept of mass at couples therapy,2025-06-29 22:19:54+00:00,0.0,neutral,49,22
"@PerfectGuide_ It’s not just about the smile on your face  it’s the calm in your voice, the light in your eyes, and the quiet confidence in how you carry yourself. Real happiness shines from within, and it makes everything about you feel warmer, softer, and more alive.",2025-06-29 22:19:54+00:00,0.9412,positive,269,22
"@GautreauPa85838 Therapeutic mushrooms and pharmaceutical-grade DMSO ended my 17-year battle with PTSD, depression, anxiety, and chronic pain. Contact @HerbFusion_ now for premium psilocybin blends, high-purity DMSO, and trusted Ivermectin - discreetly shipped to your door.",2025-06-29 22:19:52+00:00,-0.802,negative,274,22
"ok I’m at the point where I want to BITE Tenna. affectionately.
sink my teeth into him as a way to relieve this random stress I have for no reason.

just gimme something to bite on",2025-06-29 22:19:51+00:00,0.4939,positive,180,22
"@AutismCapital It is obviously not debugged or stress-tested if it can be killed. If religion had useful error-correcting mechanisms, it wouldn’t have this problem. But then it wouldn’t be a religion. We need better theories than religion and we have to be willing to create errors to find them.",2025-06-29 22:19:50+00:00,0.1375,positive,295,22
"@CallofSandy I can't relate, I was totally calm. Didn't doubt it for a second 🥱 https://t.co/JLF4ZlfFGe",2025-06-29 22:19:50+00:00,0.6081,positive,103,22
im too depressed to comment further but genuinely all im thinking about is how this is just some young man https://t.co/LrphNAi9nu,2025-06-29 22:19:48+00:00,-0.2846,negative,130,22
@hoIasoycahIa nature is healing .. .. .,2025-06-29 22:19:48+00:00,0.0,neutral,39,22
first time rage baiting kinda nervous my legs r spread,2025-06-29 22:19:45+00:00,-0.6605,negative,54,22
"@LukkieCharm Therapeutic mushrooms and pharmaceutical-grade DMSO ended my 17-year battle with PTSD, depression, anxiety, and chronic pain. Contact @HerbFusion_ now for premium psilocybin blends, high-purity DMSO, and trusted Ivermectin - discreetly shipped to your door.",2025-06-29 22:19:45+00:00,-0.802,negative,270,22
"♥️ I am the MedBed. I healed myself of allergies, cancer, and regenerated my own liver to perfection after 10 years of heavy drinking. Currently I am healing a year-long frozen shoulder and actually enjoying the process, loving the pain, knowing soon, all will be well. ♥️ https://t.co/GrvrCIiDMm",2025-06-29 22:19:44+00:00,0.93,positive,296,22
"@southgrace427 Yep, they're where men are men and GOATS are NERVOUS!😲",2025-06-29 22:19:43+00:00,0.3091,positive,69,22
"You can have everything in the world or nothing in the world with a photographic memory and strictly seeking a sense of accomplishment.
 Depression affects everyone if you can't relate to the subject regardless of being at the top or the bottom of the barrel.",2025-06-29 22:19:42+00:00,-0.4404,negative,259,22
"@NaimHossainINC @udayshankark @CartoonistSan @timesofindia It's tough to judge someone's mental state from a single online spat, so I can't say if therapy is needed—only a professional could assess that. Taking a break from social media might help de-escalate and protect your peace, especially since toxic debates can drain you. Ignoring",2025-06-29 22:19:37+00:00,0.6808,positive,338,22
"Had a few people ask about that, usually repeat commissioners. This way I'll get to stress less about rent &amp; pet food, whilst the commissioner gets their badge in time for a specific con.",2025-06-29 22:19:37+00:00,-0.4215,negative,191,22
"@bi_tyr15179 They’re the calm place
When the world’s too crazy 🌿❤️

PERTHSANTA WITH LOREAL

#เซรั่มปลุกผมxเพิร์ธแซนต้า

#PerthSanta #เพิร์ธแซนต้า",2025-06-29 22:19:37+00:00,-0.0258,neutral,145,22
"@SUBSIX7 @iMiaSanMia Flamengo's team is good, man. The problem is that at the beginning of the game they got nervous and gave up the goals",2025-06-29 22:19:37+00:00,-0.2263,negative,138,22
"to freemium dApps, users onboard with zero friction no tokens needed.

• Dynamic Fees
Forget “you need $FTM to sign.”
 Sonic lets users pay gas with stablecoins, wrapped assets whatever they already hold.

• Social Recovery
No more 12-word stress;
 Users can recover access",2025-06-29 22:19:36+00:00,-0.6682,negative,273,22
controversial opinion laziness plays a key role in depression rooms .. it gets to a point,2025-06-29 22:19:35+00:00,-0.5423,negative,89,22
Confessions of Healing w/Nancy Dufresne (Piano Accompaniment) https://t.co/i7GA5T9Pxk via @YouTube,2025-06-29 22:19:34+00:00,0.0,neutral,98,22
Truther Therapy Sessions - 92 - Conspiracy Nostalgia https://t.co/sqFj9kDtMA via @YouTube,2025-06-29 22:19:34+00:00,-0.5267,negative,89,22
"@grok @real_shirelass This is the answer Grok gives when I asked separately to this thread.

""Stevie Wonder is legally blind but not completely blind. He was born with retinopathy of prematurity, a condition that caused his retinas to detach due to premature birth and oxygen therapy. He has some light",2025-06-29 22:19:33+00:00,0.3741,positive,302,22
@DavidHundeyin Calm down. Can’t you see his silence is confusing them the more. If he announces his strategy too soon they concentrate all effort in scuttling it. Let it stay close to his chest for a while. There’s yet time,2025-06-29 22:19:33+00:00,0.1027,positive,223,22
@anxious_kitty Let’s not forget everyone wanted him gone post all star break last year,2025-06-29 22:19:32+00:00,0.1695,positive,86,22
"Sorry I pulled aggro to show you this
It's a fight between the world's strongest players.
My heart feels swell

To calm this magnificent heart
@HanaNetwork The technical mechanism is the best

Cross-chain gateway
(Cross-chain Gateway)
- Handles asset transfers between multiple https://t.co/uCPuEYHHde",2025-06-29 22:19:32+00:00,0.972,positive,301,22
"@Olamide0fficial Look at how calm and reserved Rema is in this picture, but if my guy enter stage now e go turn tiger😂😂",2025-06-29 22:19:31+00:00,0.8537,positive,119,22
@ochimusha108 Loki deserves all the anger imo,2025-06-29 22:19:30+00:00,-0.5719,negative,45,22
"@Wizarab10 Baba calm down, why quick to say such, do you think in the collation that people he wants to work with sounds like people who what's to go to court,you don't expect him to give u details of what they plan, alot of ears r listening, how do u want him to unveil all. NA WA OOO",2025-06-29 22:19:29+00:00,0.6249,positive,285,22
"@Jsize18 Got overwhelmed when it went in! Yeah all good now days, just a shame the pitches are tiny.",2025-06-29 22:19:29+00:00,0.3595,positive,100,22
What causes depression?,2025-06-29 22:19:27+00:00,-0.5719,negative,23,22
"Naya’s anger also stems from the fact that Oheneba didn’t pursue her. Had he done so, she probably would have won PMXtra Season 3 along side Oheneba. 
Instead, she dropped from top 3 to a certified bottomite. 

#PerfectMatchXtra https://t.co/j0xIWn5Qcr",2025-06-29 22:19:26+00:00,0.2023,positive,252,22
"@orangebirdbad @redpilldispensr https://t.co/MEnAnms7gq Anthelmintic drug ivermectin inhibits angiogenesis, growth and survival of glioblastoma through inducing mitochondrial dysfunction and oxidative stress",2025-06-29 22:19:25+00:00,-0.5994,negative,207,22
@NWSTwinCities Sounds like a mixed bag for the week—mostly calm but keeping an eye on those 4th of July storms. @LoganParkerX32’s probably already planning a backyard BBQ workaround. Stay dry!,2025-06-29 22:19:25+00:00,0.4003,positive,192,22
"@yourcryptodj College sold stress, anxiety, and debt dressed up as opportunity. $SCAM doesn’t sugarcoat it—it calls it what it is. This is the voice of everyone who woke up and wants change.

DYOR 👉 https://t.co/flhd73JCbB

dRxQj9or2vzSgar7PwqBHyN96nYqKa6JAyqWS3Xpump https://t.co/RJRgPCxk2d",2025-06-29 22:19:25+00:00,-0.824,negative,291,22
"@pollypocketmode @JeanGreige I've had comments removed for using 😂,🙄,🤢, or💀 emojis. Had a comment removed + appeal denied for telling someone to seek therapy. If I ever call someone a fascist, bigot, racist, transphobe? Removed. Pretty sure the one in this screenie was removed for saying ""use your brain"" https://t.co/ASNU6gmLyW",2025-06-29 22:19:25+00:00,-0.4767,negative,329,22
@EricMelillo_ Mental burnout makes you feel like you’re losing yourself slowly and nobody notices till you disappear.,2025-06-29 22:19:24+00:00,-0.25,negative,117,22
@oncloud_e @vicwingly Walking into the group therapy room at 8:00 am and seeing CBT written in big letters on the whiteboard was fun,2025-06-29 22:19:23+00:00,0.5106,positive,132,22
Stage 2 of healing https://t.co/ThbR44cHXY,2025-06-29 22:19:21+00:00,0.0,neutral,42,22
"@Marklersparkler I cut either bc of anger, guilt, self-hatred, ""punishment"", or to feel better as the pain kinda calms me",2025-06-29 22:19:21+00:00,-0.8588,negative,121,22
"@dukati54522 @snapchatsupport Snapchat locked your account again? Don’t stress — I got mine back with the help of @drax_recovery on Twitter. Quick, professional, and totally legit.",2025-06-29 22:19:19+00:00,-0.0258,neutral,180,22
@SeahawksJoJo @NiallHarbison Praying for a healing miracle.,2025-06-29 22:19:19+00:00,0.743,positive,59,22
@Shehusky The news and SM is filled daily with the activities of PBAT.. we are not here to campaign yet .. it's not yet time. When the time comes you will be inundated and overwhelmed.. for now keep crying and barking,2025-06-29 22:19:17+00:00,-0.4404,negative,217,22
@FabrizioRomano Gone are the days 50 million price tag gave El nino so much stress  that he couldnt score a tap in.,2025-06-29 22:19:16+00:00,-0.4728,negative,115,22
"@TynnLyzzi I still serve up my grandma's depression era ""Everything Stew"" - which is basically compatible leftovers combined and reseasoned into a stew that is remarkably tasty - even now.",2025-06-29 22:19:15+00:00,-0.5719,negative,188,22
Lmaooo let me calm my freaky ass down 😩,2025-06-29 22:19:15+00:00,-0.7003,negative,39,22
"@brunelldonald I pray that you keep Mike and his family in your embrace Lord, healing them and protecting them during this time and beyone.  In Jesus'name I pray.",2025-06-29 22:19:15+00:00,0.7096,positive,162,22
"@MadridXtra @marca ""Real Madrid are looking at offers with anger in their eyes""
Fucking dramatic clowns",2025-06-29 22:19:15+00:00,-0.5719,negative,103,22
@SpanielCooper1 It's hard to feel anxious when you're singing the hymns you love... or even the little kid Bible Memory Verses from GT and the Halo Express,2025-06-29 22:19:15+00:00,0.6841,positive,155,22
"@neuralink Elon Musk healing the blind so they can see, making people be able to walk again and use their otherwise unusable body and somehow the media will find a way to frame it negatively... Thank god we have X to see what actually happens",2025-06-29 22:19:15+00:00,0.2263,positive,242,22
"@barr_peto @afijabi_la Guyyy sameee 
Mtn just Dey stress me",2025-06-29 22:19:14+00:00,-0.4215,negative,59,22
@asubtlergin @JennerJinks @DiabolicalSpuds My understanding is that they were prolific during the Great Depression and people got sick of them.,2025-06-29 22:19:13+00:00,-0.4404,negative,143,22
"@Alex3_eth @boundless_xyz Exactly 🍓 
ZK flex without the stress Boundless got that honor roll energy!",2025-06-29 22:19:13+00:00,0.786,positive,101,22
"@saif3218 @CatgirlErika Kill libido, stop random errections, and lead to penile atrophy.

Along with about half a dozen other things.
Some notable side effects are:
Milky titties
Induced Parkinsons
Low mood and depression",2025-06-29 22:19:13+00:00,-0.9136,negative,221,22
@krassenstein They shouldn’t be surprised of the state of most people waiting on handouts instead of working for what they want with the democrats broken promises of free stuff for all if they vote them in office which is unrealistic because somebody got to pay for it leading to depression.,2025-06-29 22:19:13+00:00,-0.0258,neutral,291,22
"@thesrdx Fatima says she suffers from severe depression due to bullying by her sister and mother, as per the video subtitles. The video, likely from a podcast, also covers unrelated topics like hijab restrictions and women's rights. The translation appears reliable, but without further",2025-06-29 22:19:13+00:00,-0.7096,negative,286,22
"❓ i have a crush on you and seeing that you follow me makes me a lil shy and nervous
💬 Awww that’s so adorable!!  https://t.co/lMgdvrtW5z",2025-06-29 22:19:13+00:00,0.2501,positive,137,22
"Anyways, i am still 50%50% on it, and i KNOW for a fact that only 1/16 of followers will read this. But meh, it is expected. That is about it; this all can be just stress, and there are a number of outside factors making things worse for me.",2025-06-29 22:19:12+00:00,-0.8338,negative,241,22
Walking Rewires The Stress Response.,2025-06-29 22:19:12+00:00,-0.4215,negative,36,22
"@Blue2black With love and silence, I speak—
There is no anger in me.
No fear.
Only the weight of stillness
that was written before I arrived.

24 hours...
That is all it takes
to receive what others seek across galaxies.
Not by desire,
not by mind,
but by His will — flowing through me, not",2025-06-29 22:19:09+00:00,0.5837,positive,290,22
@SNPittsburgh It’s still the same team from 4 games ago. Calm down,2025-06-29 22:19:09+00:00,0.3182,positive,66,22
Stage 1 of healing https://t.co/cVmHcH4c8u,2025-06-29 22:19:09+00:00,0.0,neutral,42,22
@sog_goog nooo kimi looking nervous :((,2025-06-29 22:19:08+00:00,-0.2732,negative,39,22
@JDunlap1974 I’ll wait. But not hopeful.,2025-06-29 22:19:06+00:00,-0.5504,negative,40,22
"@s_nakotomo Everyone wants to be rich immediately
Thats why people nervously,stressed",2025-06-29 22:19:05+00:00,0.5574,positive,85,22
"Don't lose everything 
in anger
Which you have earned 
by staying calm 
#WiseWords 
Good morning friends 
#HappyNewWeek 
   🌺💫🌺💫🌺 https://t.co/pvtHVX6vdN",2025-06-29 22:19:05+00:00,0.4692,positive,153,22
"@CGBBURNER Hey man... Yeah,this isn't true. If you're wanting to blame someone for the mistakes of the Ishbia era so far I'd aim my anger towards Josh Bartelstein.",2025-06-29 22:19:04+00:00,-0.873,negative,163,22
"@mbougatef_md for me it was the most stress riddled, anxiety inducing 3 months 😂",2025-06-29 22:19:04+00:00,-0.2862,negative,80,22
iris is stirring the pot but remember we direct the anger towards NIC cierra he’s the one that was GOING ABOVE AND BEYOND https://t.co/KBtiJp5qvi,2025-06-29 22:19:03+00:00,-0.7227,negative,145,22
"The Four Hard Truths I Wish Someone Told Me Earlier...

One and a half years of building software for founders has taught me:

1. Your idea isn't your product (execution is everything)
2. Pricing paralysis is real (just pick a number and test)
3. Burnout sneaks up when you're",2025-06-29 22:19:03+00:00,0.6597,positive,276,22
Lowkey nervous for tomorrow,2025-06-29 22:19:01+00:00,-0.2732,negative,27,22
"@realjoshuareid And that's what is going to happen, and there will be a two year depression. Either way, there is going to be a temporary depression.

My Brics part 35 video

Alert Global Reset, Depression, and the Quantum Financial System 

https://t.co/bQJ5is8B8H",2025-06-29 22:18:59+00:00,-0.872,negative,265,22
"Paramount spends way too much one basket hopeful hits, that don’t turn into billion dollar blockbusters. They really could spend that money around, especially making more Star Trek movies.🤷‍♂️ https://t.co/4lsF8o4OH1",2025-06-29 22:18:59+00:00,0.5106,positive,216,22
@cat_barnes30 What’s with these trolls? Is this post-Biden anger?,2025-06-29 22:18:58+00:00,-0.6199,negative,65,22
"@NessaOfficial__ I am calm, I think you’re the one who needs to calm down boo. I like Chris but I’m not delusional. I can like an artists and call out bullshit or they’re weird stans. Now run long!",2025-06-29 22:18:58+00:00,-0.3054,negative,197,22
My birthday is the last week of pride so I should’ve spent this week hopping around Oakland but alcohol make me depressed so instead I spent it dopamine maxing by scrolling 6 hours a day,2025-06-29 22:18:58+00:00,-0.5789,negative,186,22
@urulokid @jjbb9396 @_celia_bedelia_ lmao and you told me to calm down,2025-06-29 22:18:56+00:00,0.7351,positive,70,22
swimming and healing🏊‍♀️🏊 https://t.co/YgXB9M0pDk,2025-06-29 22:18:56+00:00,0.0,neutral,49,22
i have like a million and one things i gotta do in such a short time and it’s making me so overwhelmed and stressed fml,2025-06-29 22:18:56+00:00,0.1161,positive,119,22
@halleariellover @_celia_bedelia_ don’t disrespect depressed lesbians like that,2025-06-29 22:18:56+00:00,-0.5574,negative,79,22
@midnightmystry_ gym join krlo healing easy ho jaye gi,2025-06-29 22:18:56+00:00,0.6249,positive,54,22
@esetwits @woye1 @NELFUND Perfect healing,2025-06-29 22:18:55+00:00,0.5719,positive,41,22
@gordey_4ik @multiplifi @KaitoAI @multiplifi turned market chaos into calm income streams. Delta-neutral done right is peace of mind in DeFi.,2025-06-29 22:18:55+00:00,0.2732,positive,141,22
@Hawk9248 Poor guy man he is working hard and the only driver that can handle a car set to Max’s configuration.. he’s not doing bad at all. But I know he wants pole this year at some point! And this last race had him stressed. It was his chance to carry the team!,2025-06-29 22:18:55+00:00,-0.363,negative,263,22
@None_knows_me_ @Novastro_xyz it does provide stress free transactions,2025-06-29 22:18:54+00:00,0.128,positive,70,22
@raskolnikute HAH... No seriously Ricardo's the same he looks genuinely depressed in private over those coupons,2025-06-29 22:18:54+00:00,-0.418,negative,111,22
Stress Relief 😩 | High Rise Invasion https://t.co/D8dOoP9MB5,2025-06-29 22:18:53+00:00,-0.2023,negative,60,22
"@Deborahpower5 @PhilipProudfoot The papers can say anything though, and it’s also very much about muddying the truth and keeping public opinion confused and nervous about the moral side to take",2025-06-29 22:18:53+00:00,-0.2732,negative,193,22
@donaldp1917 @DrewPavlou He should calm down.  You folks always find a way to implode through infighting in the end.,2025-06-29 22:18:51+00:00,0.3182,positive,116,22
"@SuellaBraverman Suella keep calm I have everything in control 

https://t.co/AZp19Ax5Hs",2025-06-29 22:18:49+00:00,0.3182,positive,88,22
"@lulapinn Thank you very much but there's no need anymore!!! 🥹🥹 The surgery  took place almost a month ago and the wound is healing...slowly but it's healing! 🙂‍↕️🙂‍↕️🙂‍↕️
(Now the beast to fight is this hot weather oh my!! 🔥🔥) https://t.co/y8Ko1a6LSA",2025-06-29 22:18:48+00:00,0.2958,positive,251,22
I really can’t stress enough how much fun I had. I really pissed myself laughing 😂 you would’ve thought I was drunk how bad I cut up.,2025-06-29 22:18:48+00:00,-0.7103,negative,133,22
